,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
197,155.245.29.130,100,183,TRUE,2018/6/19 03:20,R_9v22AcCVROJfHsl,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,185.296,185.489,187.087,2,Prime Minister 1,8.982,8.982,12.309,1,Prime Minister 1,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Female,Oppose EU Integration,Conservative Party,Sexual Harassment,Liberal Democrats,No Scandal,Gender,Male,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Male,Oppose EU Integration,Conservative Party,Misreporting Funds,Liberal Democrats,Sexual Harassment
198,217.68.254.137,100,22,TRUE,2018/6/19 03:33,R_T74wWAKmEvasQYF,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,11.841,11.841,15.098,1,Prime Minister 1,5.982,5.982,7.3,1,Prime Minister 1,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Female,Minister's Scandal,No Scandal,Liberal Democrats,Misreporting Funds,Conservative Party,Support EU Integration,Female,Plagiarism,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Female,Minister's Scandal,No Scandal,Labour Party,Having an Extranarital Affair,Labour Party,Support EU Integration,Male,Sexual Harassment
199,82.27.112.61,100,30,TRUE,2018/6/19 03:45,R_2QS2Rqe0hcXPhil,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.162,12.367,13.329,9,Prime Minister 1,1.293,11.325,15.305,6,Prime Minister 2,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,Liberal Democrats,Support EU Integration,Having an Extranarital Affair,Misreporting Funds,Male,Conservative Party,Minister's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,Plagiarism,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Party Affiliation,Labour Party,Labour Party,Neutral,Having an Extranarital Affair,Having an Extramarital Affair,Male,Labour Party
200,155.245.58.127,100,41,TRUE,2018/6/19 03:51,R_AmrWOvmupNdOoDL,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,12.964,12.964,14.193,1,Prime Minister 1,25.032,25.032,25.994,1,Prime Minister 1,Gender,Female,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,Sexual Harassment,Male,Labour Party,Misreporting Funds,Oppose EU Integration,Labour Party,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Scandal,Sexual Harassment,Female,Labour Party,Misreporting Funds,Oppose EU Integration,Labour Party,Sexual Harassment
201,82.132.227.74,100,33,TRUE,2018/6/19 03:55,R_V4p0dfiZfXHct33,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,7.231,23.531,24.285,5,Prime Minister 1,6.736,7.516,8.152,3,Prime Minister 1,Minister's Partisanship,Labour Party,Scandal,No Scandal,Gender,Male,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Labour Party,Plagiarism,Female,Misreporting Funds,Labour Party,Support EU Integration,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Gender,Female,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Labour Party,Misreporting Funds,Male,Sexual Harassment,Labour Party,Support EU Integration
202,86.147.203.180,100,41,TRUE,2018/6/19 03:55,R_2uCkpbNVrU3BT9f,NA,NA,NA,NA,51.88330078,0.566696167,anonymous,EN,2.589,14.35,15.289,4,Prime Minister 2,7.272,23.724,25.901,3,Prime Minister 1,Gender,Female,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Minister's Scandal,Plagiarism,Scandal,Sexual Harassment,Male,Conservative Party,Conservative Party,Support EU Integration,No Scandal,Plagiarism,Gender,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,No Scandal,Scandal,No Scandal,Male,Labour Party,Labour Party,Neutral,Sexual Harassment,Plagiarism
203,86.132.231.179,100,82,TRUE,2018/6/19 03:56,R_3EMTCoRCzMWxROs,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,63.08,74.679,76.068,3,Prime Minister 1,2.116,6.241,9.709,2,Prime Minister 2,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Male,Minister's Scandal,Misreporting Funds,Support EU Integration,Having an Extranarital Affair,Liberal Democrats,Conservative Party,Male,Plagiarism,EU Integration,Neutral,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Support EU Integration,Plagiarism,Conservative Party,Conservative Party,Female,Plagiarism
204,77.111.247.72,100,40,TRUE,2018/6/19 04:00,R_1Y8f9ypB2SaEczn,NA,NA,NA,NA,47,8,anonymous,EN,24.893,24.893,26.677,1,Prime Minister 2,11.455,11.455,12.309,1,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Misreporting Funds,Gender,Female,No Scandal,Support EU Integration,Conservative Party,Liberal Democrats,No Scandal,Male,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Misreporting Funds,Gender,Female,Having an Extramarital Affair,Support EU Integration,Conservative Party,Liberal Democrats,Having an Extranarital Affair,Male
205,86.167.232.130,100,127,TRUE,2018/6/19 04:04,R_1gAr3lhJpqL8WXH,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.411,86.061,86.673,6,Prime Minister 2,1.669,37.216,38.769,5,Prime Minister 1,Gender,Male,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Male,Conservative Party,Conservative Party,Plagiarism,Having an Extranarital Affair,Neutral,Gender,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Female,Liberal Democrats,Conservative Party,No Scandal,Misreporting Funds,Oppose EU Integration
207,86.30.98.84,100,35,TRUE,2018/6/19 04:08,R_33qVGbOQt7VpFua,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,2.912,22.35,24.532,5,Prime Minister 1,2.043,8.037,8.546,5,Prime Minister 1,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Female,Neutral,Misreporting Funds,Labour Party,Sexual Harassment,Labour Party,Female,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Male,Neutral,Plagiarism,Labour Party,Sexual Harassment,Labour Party,Male
