"","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_First.Click","Q1_Last.Click","Q1_Page.Submit","Q1_Click.Count","Q2","Q3_First.Click","Q3_Last.Click","Q3_Page.Submit","Q3_Click.Count","Q4","F.1.1","F.1.1.1","F.1.2","F.1.1.2","F.1.3","F.1.1.3","F.1.4","F.1.1.4","F.1.2.1","F.1.2.2","F.1.2.3","F.1.2.4","F.2.1","F.2.1.1","F.2.2","F.2.1.2","F.2.3","F.2.1.3","F.2.4","F.2.1.4","F.2.2.1","F.2.2.2","F.2.2.3","F.2.2.4"
"197","155.245.29.130",100,18,TRUE,"2018/6/19 03:15","R_OHBM3k6jfZHo9I5",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",8.577,8.577,10.483,1,"Candidate 2",6.389,6.389,7.447,1,"Candidate 1","Party Affiliation","Liberal Democrats","Gender","Female","EU Integration","Oppose EU Integration","Scandal","Sexual Harassment","Labour Party","Male","Neutral","Having an Extramarital Affair","Party Affiliation","Conservative Party","Gender","Female","EU Integration","Neutral","Scandal","Having an Extramarital Affair","Labour Party","Male","Neutral","Sexual Harassment"
"198","217.68.254.137",100,23,TRUE,"2018/6/19 03:31","R_xFqj7sAw2YUhqZX",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",6.624,6.624,7.682,1,"Candidate 2",14.052,14.052,15.345,1,"Candidate 2","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Labour Party","Scandal","Plagiarism","Oppose EU Integration","Female","Labour Party","No Scandal","EU Integration","Support EU Integration","Gender","Female","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Oppose EU Integration","Male","Labour Party","Misreporting Funds"
"199","62.255.36.196",100,29,TRUE,"2018/6/19 03:33","R_3dVS8VBa04ltMVU",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",14.99,14.99,21.183,1,"Candidate 1",6.059,6.059,7.363,1,"Candidate 2","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Party Affiliation","Labour Party","Gender","Female","Sexual Harassment","Oppose EU Integration","Labour Party","Female","Scandal","Sexual Harassment","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Gender","Female","No Scandal","Neutral","Liberal Democrats","Female"
"200","82.27.112.61",100,25,TRUE,"2018/6/19 03:44","R_10uYQ5fWWvJIzVz",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",2.11,4.7,6.385,4,"Candidate 1",1.946,14.945,17.409,4,"Candidate 2","Scandal","Plagiarism","Party Affiliation","Labour Party","Gender","Male","EU Integration","Oppose EU Integration","Misreporting Funds","Liberal Democrats","Female","Support EU Integration","Scandal","Having an Extramarital Affair","Party Affiliation","Conservative Party","Gender","Female","EU Integration","Oppose EU Integration","No Scandal","Liberal Democrats","Female","Oppose EU Integration"
"201","155.245.58.127",100,36,TRUE,"2018/6/19 03:49","R_24nKoX9O0roMJYt",NA,NA,NA,NA,51.88279724,1.004592896,"anonymous","EN",17.352,17.352,18.39,1,"Candidate 1",15.848,15.848,16.939,1,"Candidate 1","EU Integration","Support EU Integration","Gender","Female","Scandal","Plagiarism","Party Affiliation","Conservative Party","Neutral","Female","Having an Extramarital Affair","Conservative Party","EU Integration","Support EU Integration","Gender","Male","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","Oppose EU Integration","Male","Plagiarism","Conservative Party"
"202","86.132.231.179",100,48,TRUE,"2018/6/19 03:52","R_2sd5hHvZTd9f82x",NA,NA,NA,NA,50.8500061,0.566696167,"anonymous","EN",32.009,33.06,34.487,2,"Candidate 1",12.091,13.204,14.605,2,"Candidate 1","Gender","Female","Scandal","Misreporting Funds","EU Integration","Neutral","Party Affiliation","Labour Party","Female","Sexual Harassment","Oppose EU Integration","Liberal Democrats","Gender","Female","Scandal","No Scandal","EU Integration","Oppose EU Integration","Party Affiliation","Labour Party","Male","No Scandal","Oppose EU Integration","Liberal Democrats"
"203","86.147.203.180",100,50,TRUE,"2018/6/19 03:52","R_2frZDI4x7LkmRWx",NA,NA,NA,NA,51.88330078,0.566696167,"anonymous","EN",3.768,11.396,12.505,3,"Candidate 2",23.469,37.017,37.891,5,"Candidate 1","Party Affiliation","Liberal Democrats","EU Integration","Oppose EU Integration","Scandal","No Scandal","Gender","Female","Liberal Democrats","Neutral","No Scandal","Female","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Scandal","Sexual Harassment","Gender","Male","Labour Party","Oppose EU Integration","Sexual Harassment","Female"
"204","82.132.227.74",100,23,TRUE,"2018/6/19 03:53","R_2PzkDOOnNtARVv4",NA,NA,NA,NA,51.6000061,-0.066696167,"anonymous","EN",8.143,9.415,10.042,3,"Candidate 2",8.841,9.788,10.966,3,"Candidate 1","Scandal","Having an Extramarital Affair","Party Affiliation","Liberal Democrats","EU Integration","Support EU Integration","Gender","Female","Plagiarism","Liberal Democrats","Oppose EU Integration","Female","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","EU Integration","Oppose EU Integration","Gender","Male","Sexual Harassment","Labour Party","Oppose EU Integration","Male"
"205","77.111.247.72",100,29,TRUE,"2018/6/19 03:58","R_1LhQVLkWwgkP2xO",NA,NA,NA,NA,47,8,"anonymous","EN",15.115,15.115,16.188,1,"Candidate 1",10.784,10.784,11.671,1,"Candidate 2","EU Integration","Support EU Integration","Gender","Female","Scandal","Plagiarism","Party Affiliation","Conservative Party","Support EU Integration","Male","Misreporting Funds","Labour Party","EU Integration","Oppose EU Integration","Gender","Male","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","Neutral","Male","No Scandal","Liberal Democrats"
"206","86.167.232.130",100,45,TRUE,"2018/6/19 03:59","R_1IhH6BTz9oNRJ78",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",1.72,14.678,15.512,4,"Candidate 2",6.497,19.964,22.599,4,"Candidate 2","Party Affiliation","Labour Party","Scandal","Sexual Harassment","Gender","Male","EU Integration","Oppose EU Integration","Conservative Party","No Scandal","Male","Support EU Integration","Party Affiliation","Labour Party","Scandal","Misreporting Funds","Gender","Female","EU Integration","Neutral","Labour Party","No Scandal","Female","Oppose EU Integration"
"208","86.30.98.84",100,34,TRUE,"2018/6/19 04:06","R_uh8wlNwJctfUI6J",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",13.038,13.999,17.384,3,"Candidate 1",6.955,9.3,13.999,3,"Candidate 2","Scandal","Misreporting Funds","Gender","Female","Party Affiliation","Conservative Party","EU Integration","Neutral","Having an Extramarital Affair","Male","Conservative Party","Oppose EU Integration","Scandal","Plagiarism","Gender","Male","Party Affiliation","Labour Party","EU Integration","Neutral","Having an Extramarital Affair","Male","Liberal Democrats","Support EU Integration"
"209","86.148.156.140",100,27,TRUE,"2018/6/19 04:06","R_20SFjDPTn4t1VnZ",NA,NA,NA,NA,51.88330078,0.366699219,"anonymous","EN",10.867,10.867,12.011,1,"Candidate 2",12.494,12.494,14.495,1,"Candidate 2","EU Integration","Support EU Integration","Gender","Male","Scandal","Sexual Harassment","Party Affiliation","Labour Party","Support EU Integration","Female","No Scandal","Liberal Democrats","EU Integration","Support EU Integration","Gender","Male","Scandal","No Scandal","Party Affiliation","Labour Party","Oppose EU Integration","Female","Plagiarism","Labour Party"
"210","81.109.254.163",100,28,TRUE,"2018/6/19 04:08","R_3CQa9ni54VIvSz3",NA,NA,NA,NA,51.3999939,0.050003052,"anonymous","EN",3.624,7.082,7.832,3,"Candidate 2",1.375,14.357,19.171,3,"Candidate 2","EU Integration","Oppose EU Integration","Scandal","Sexual Harassment","Gender","Male","Party Affiliation","Liberal Democrats","Neutral","Misreporting Funds","Male","Labour Party","EU Integration","Neutral","Scandal","Plagiarism","Gender","Female","Party Affiliation","Conservative Party","Neutral","Misreporting Funds","Male","Labour Party"
"211","31.221.65.146",100,70,TRUE,"2018/6/19 04:08","R_1HdxuidYj7z8cI6",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",21.681,23.064,27.461,3,"Candidate 2",36.25,40.663,41.886,3,"Candidate 2","Scandal","Plagiarism","Party Affiliation","Labour Party","EU Integration","Support EU Integration","Gender","Female","Having an Extramarital Affair","Labour Party","Oppose EU Integration","Male","Scandal","Misreporting Funds","Party Affiliation","Conservative Party","EU Integration","Oppose EU Integration","Gender","Male","Having an Extramarital Affair","Labour Party","Neutral","Male"
"212","86.12.161.20",100,33,TRUE,"2018/6/19 04:17","R_p6n30nrmAsE9yBH",NA,NA,NA,NA,51.51420593,-0.093093872,"anonymous","EN",7.879,7.879,9.905,1,"Candidate 1",20.818,20.818,22.275,1,"Candidate 2","Scandal","Misreporting Funds","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Support EU Integration","Misreporting Funds","Conservative Party","Female","Oppose EU Integration","Scandal","Plagiarism","Party Affiliation","Conservative Party","Gender","Male","EU Integration","Neutral","No Scandal","Labour Party","Female","Neutral"
"213","5.151.215.96",100,19,TRUE,"2018/6/19 04:17","R_1exeFh1PMfOQljJ",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",8.986,10.44,10.945,3,"Candidate 1",3.397,7.157,7.184,3,"Candidate 2","Gender","Male","Scandal","Plagiarism","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Male","Sexual Harassment","Liberal Democrats","Neutral","Gender","Male","Scandal","Sexual Harassment","Party Affiliation","Labour Party","EU Integration","Oppose EU Integration","Female","No Scandal","Liberal Democrats","Neutral"
"214","86.1.190.190",100,52,TRUE,"2018/6/19 04:21","R_2yfw9R3EetcCSkz",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",5.407,19.355,21.808,2,"Candidate 1",4.201,26.576,28.961,2,"Candidate 2","Scandal","Having an Extramarital Affair","EU Integration","Support EU Integration","Gender","Male","Party Affiliation","Liberal Democrats","Misreporting Funds","Support EU Integration","Male","Conservative Party","Scandal","Misreporting Funds","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Labour Party","Having an Extramarital Affair","Oppose EU Integration","Male","Labour Party"
"215","155.245.59.228",100,18,TRUE,"2018/6/19 04:23","R_PY85uw1k6puuqDT",NA,NA,NA,NA,51.94999695,1.066696167,"anonymous","EN",8.555,8.555,9.537,1,"Candidate 2",6.027,6.027,8.383,1,"Candidate 1","Party Affiliation","Liberal Democrats","Scandal","Plagiarism","EU Integration","Oppose EU Integration","Gender","Male","Conservative Party","Plagiarism","Support EU Integration","Male","Party Affiliation","Conservative Party","Scandal","No Scandal","EU Integration","Support EU Integration","Gender","Male","Conservative Party","Misreporting Funds","Oppose EU Integration","Male"
"216","86.1.186.170",100,29,TRUE,"2018/6/19 04:31","R_31a6pXtGrj8ekcE",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",1.275,9.508,11.019,4,"Candidate 1",1.104,15.424,16.338,3,"Candidate 2","EU Integration","Oppose EU Integration","Party Affiliation","Labour Party","Gender","Female","Scandal","Having an Extramarital Affair","Neutral","Labour Party","Male","Sexual Harassment","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Gender","Male","Scandal","Having an Extramarital Affair","Neutral","Liberal Democrats","Female","Having an Extramarital Affair"
"217","81.153.144.254",100,22,TRUE,"2018/6/19 04:33","R_1oe72Uo55eWT06x",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",1.225,6.783,7.258,3,"Candidate 2",11.338,12.915,12.857,3,"Candidate 1","EU Integration","Neutral","Scandal","Misreporting Funds","Party Affiliation","Conservative Party","Gender","Male","Neutral","No Scandal","Conservative Party","Female","EU Integration","Oppose EU Integration","Scandal","Sexual Harassment","Party Affiliation","Liberal Democrats","Gender","Female","Oppose EU Integration","Sexual Harassment","Conservative Party","Female"
"218","81.154.34.58",100,34,TRUE,"2018/6/19 04:34","R_2nMjs2mvQJlGRQl",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",2.073,15.468,16.184,3,"Candidate 1",15.632,15.639,16.328,2,"Candidate 2","Party Affiliation","Liberal Democrats","Scandal","Misreporting Funds","EU Integration","Support EU Integration","Gender","Male","Labour Party","Having an Extramarital Affair","Support EU Integration","Female","Party Affiliation","Liberal Democrats","Scandal","Having an Extramarital Affair","EU Integration","Oppose EU Integration","Gender","Female","Labour Party","Plagiarism","Support EU Integration","Male"
"219","82.71.32.36",100,37,TRUE,"2018/6/19 04:38","R_9z9niMx2PoZ0XAJ",NA,NA,NA,NA,50.8500061,0.566696167,"anonymous","EN",19.172,19.172,19.818,1,"Candidate 2",13.661,13.661,14.477,1,"Candidate 1","Party Affiliation","Labour Party","Scandal","Misreporting Funds","Gender","Male","EU Integration","Oppose EU Integration","Labour Party","Having an Extramarital Affair","Female","Oppose EU Integration","Party Affiliation","Labour Party","Scandal","Having an Extramarital Affair","Gender","Male","EU Integration","Support EU Integration","Labour Party","Plagiarism","Female","Oppose EU Integration"
"220","94.193.118.68",100,26,TRUE,"2018/6/19 04:39","R_yR88m8L9PRojIBP",NA,NA,NA,NA,52.08329773,1.166702271,"anonymous","EN",16.361,17.709,18.396,3,"Candidate 1",4.968,5.867,6.621,3,"Candidate 1","Gender","Male","EU Integration","Support EU Integration","Party Affiliation","Conservative Party","Scandal","Plagiarism","Female","Oppose EU Integration","Labour Party","Misreporting Funds","Gender","Male","EU Integration","Neutral","Party Affiliation","Conservative Party","Scandal","Misreporting Funds","Male","Support EU Integration","Liberal Democrats","Sexual Harassment"
